rank,ethnicity,gender,language,age,cls_students,cls_level,bty_avg,prof_eval,course_eval
tenure track,minority,female,english,36,43,upper,5,4.7,4.3
tenure track,minority,female,english,36,125,upper,5,4.1,3.7
tenure track,minority,female,english,36,125,upper,5,3.9,3.6
tenure track,minority,female,english,36,123,upper,5,4.8,4.4
tenured,not minority,male,english,59,20,upper,3,4.6,4.5
tenured,not minority,male,english,59,40,upper,3,4.3,4
tenured,not minority,male,english,59,44,upper,3,2.8,2.1
tenured,not minority,male,english,51,55,upper,3.333,4.1,3.7
tenured,not minority,male,english,51,195,upper,3.333,3.4,3.2
tenured,not minority,female,english,40,46,upper,3.167,4.5,4.3
tenured,not minority,female,english,40,27,upper,3.167,3.8,3.5
tenured,not minority,female,english,40,25,upper,3.167,4.5,4.1
tenured,not minority,female,english,40,20,upper,3.167,4.6,4.6
tenured,not minority,female,english,40,25,upper,3.167,3.9,3.8
tenured,not minority,female,english,40,42,upper,3.167,3.9,3.8
tenured,not minority,female,english,40,20,upper,3.167,4.3,3.8
tenured,not minority,female,english,40,18,upper,3.167,4.5,4.2
tenure track,not minority,female,english,31,48,upper,7.333,4.8,4.4
tenure track,not minority,female,english,31,44,upper,7.333,4.6,3.9
tenure track,not minority,female,english,31,48,upper,7.333,4.6,4.5
tenure track,not minority,female,english,31,45,upper,7.333,4.9,4.5
tenure track,not minority,female,english,31,59,upper,7.333,4.6,4.4
tenure track,not minority,female,english,31,87,upper,7.333,4.5,4.4
tenured,not minority,male,english,62,282,upper,5.5,4.4,4.2
tenured,not minority,male,english,62,292,upper,5.5,4.6,4.4
tenured,not minority,male,english,62,130,upper,5.5,4.7,4.5
tenured,not minority,male,english,62,285,upper,5.5,4.5,4.3
tenured,not minority,male,english,62,272,upper,5.5,4.8,4.6
tenured,not minority,male,english,62,286,upper,5.5,4.9,4.8
tenured,not minority,male,english,62,302,upper,5.5,4.5,4.3
tenure track,not minority,female,english,33,41,upper,4.167,4.4,4
tenure track,not minority,female,english,33,34,upper,4.167,4.3,4
tenure track,not minority,female,english,33,41,upper,4.167,4.1,4
tenure track,not minority,female,english,33,41,upper,4.167,4.2,3.9
tenure track,not minority,female,english,33,34,upper,4.167,3.5,3.3
tenured,not minority,female,english,51,41,upper,4,3.4,3.4
tenured,not minority,female,english,51,22,upper,4,4.5,4.5
tenured,not minority,female,english,51,21,upper,4,4.4,4.5
tenured,not minority,female,english,51,17,upper,4,4.4,4.5
tenured,not minority,female,english,51,30,lower,4,2.5,2.5
tenured,not minority,female,english,51,23,upper,4,4.3,4.3
tenured,not minority,female,english,51,20,upper,4,4.5,4.5
tenure track,not minority,female,english,33,60,upper,4.667,4.8,4.5
tenure track,not minority,female,english,33,33,upper,4.667,4.8,4.7
tenure track,not minority,female,english,33,44,upper,4.667,4.4,3.5
tenure track,not minority,female,english,33,49,upper,4.667,4.7,4.5
tenure track,not minority,female,english,33,29,upper,4.667,4.4,3.8
tenure track,not minority,female,english,33,48,upper,4.667,4.7,4.5
tenure track,not minority,female,english,33,40,upper,4.667,4.5,4.3
teaching,not minority,male,english,47,19,upper,5.5,4,3.9
teaching,not minority,male,english,47,16,upper,5.5,4.3,3.9
teaching,not minority,male,english,47,15,upper,5.5,4.4,4.3
teaching,not minority,male,english,47,23,upper,5.5,4.5,4.2
teaching,not minority,male,english,47,11,lower,5.5,5,5
teaching,not minority,male,english,47,29,lower,5.5,4.9,5
teaching,not minority,male,english,47,21,upper,5.5,4.6,4.6
teaching,not minority,male,english,47,18,lower,5.5,5,5
teaching,not minority,male,english,47,19,upper,5.5,4.7,4.7
teaching,not minority,male,english,47,20,lower,5.5,5,5
